Habituality,Concordance
1,"Some of that stuff, you be like what? be showing me some work. They got- they got- these d"
1,"ble/. What kind of workouts should we do? I don't be working out. I'm too little. I need to eat. Man,"
1,"hip hop [song.] [The beats.] [The damn beats.] [I be listening to the] beats. Oh, you got R and B and"
1,to either get too deep into politics and stuff. I be listening to it- Mm-hm. but I don't really be- I
1,"Ooh.] I don't [know what that is.] [] [And then I be playing] the, um, Game Pigeon, games. [Wanna] pla"
1,"decision [on like /??/.] [Right, like] And then I be seeing these videos. These mama's be letting they"
1,"at. I don't gotta workout and I look like this. I be [still trying to workout-] [I wanna workout, but"
1,he was gonna have some Yoda's type stuff. Yeah. I be trying to either get too deep into politics and s
1,"so you gotta [do it all in your head. So I] just be like [Oh, shit /??/.] Remember orders, all that ["
1,sometimes I just can't listen to all that. I just be liking the beat to a hip hop [song.] [The beats.]
1,me? I don't really be playing video games. I just be playing games on my phone. Oh. What kind of games
1,] And then I be seeing these videos. These mama's be letting they little boys dance and stuff. Like th
1,"'s really what it- they try to make it. Obamacare be like, okay. He was fucking with Obamacare now we"
1,"say this word. /??/ Yeah. Some of that stuff, you be like what? /RD-NAME-3/ be showing me some work. T"
1,"g to watch her stories and get some peace, and he be barking at nobody for no god damn reason. Shut yo"
1,"o, what'd he say? (whispered) Oh [wow.] [And they be like], nah, what he said was, he was about [to go"
1,r that a lot from [/most/] [northern people] [who be freaking] out. [I-] [I-] [listen.] Listen. [I tho
1,"y'all don't] say it. Now when females say, y'all be like, We get upset when females say it [/??/] [is"
1,"ing to say bruh. [Okay.] [Like] my best friend, I be hearing her say it, but she won't say it like bru"
1,"the costume almost has like, wheels. What? So it be easy for you to maneuver in it, but if you're pla"
1,"but she won't say it like bruh. [Yeah.] [But she be like] bruh, or bro. Yeah. You know. Okay so we go"
1,"hot and he definitely failed. Let's see, [Or they be like] what you finna do? [did you hook-] Mm-hm. I"
1,"go about how hollering at you? Um, sometimes they be rude like, the other day, I was at the store, Mm-"
1,'m not big on pork.] [/inaudible/] But that bacon be calling me. I'm not gonna sit here and lie to y'a
1,"coughing) I [rock with] the Regular Show. They do be having some good, um, [d-] life teaching lessons"
1,"eah, [human race.] [no but-] [] [] [I- yeah] d- I be putting that on job applications and [everything]"
1,", niggas be hungry. Mm-hm. I go in there and I- I be like, shit, cool well I'm finna cook something. T"
1,"we was on block schedule. In the first block, it be like kind of /told/ us like, lunch is starting, y"
1,"go hot box. We'll leave out of there, and, um, it be like two in the morning, niggas be hungry. Mm-hm."
1,"[stuff, /you know] what I mean/ [Yeah, bruh.] It be a lot of- whole lot of fuck shit on certain chann"
1,e nastier than nigga's bathrooms. Oh [damn.] [ It be everywhere.] [/Are you for real?/] It be everywhe
1,"n.] [ It be everywhere.] [/Are you for real?/] It be everywhere, bruh. [Aks any woman you] know, bruh."
1,"for that shit, like (laughing) [Mm-hm.] [It] just be a black shirt, like I'm trying. I'm here. Fuck, y"
1,"e a bitch. You know what I'm saying, like we just be kicking shit though like, Mm-hm. You know what I'"
1,"already know./] [] Other than that, bruh, we just be /smoking jay/, you know what I'm saying, chilling"
1,"e, and, um, it be like two in the morning, niggas be hungry. Mm-hm. I go in there and I- I be like, sh"
1,"m saying, you might, it depend, bruh. Some niggas be intimidated. You can't walk around there intimida"
1,"know], you [Yeah.] get [the like clay. That shit be like together, like a rock.] That [shit just] blo"
1,", you watch the Adult Swim cartoons? /Them shits/ be evil, nigga. I fuck with the Regular Show. Wow, o"
1,"subs and shit. Ooh, yeah the turkey. /Sure/, they be /bustling/. Yeah, I fuck with like- I like sea fo"
1,"e, shit, cool well I'm finna cook something. They be like, whatchu gonna cook, bruh? It's like fucking"
1,"tests when I s- I show up and pass the test. They be, how the fuck did you do this? You ain't been here"
1,uge the bottle is. [Why] [Gatorade] bottles don't be coming like this for real for [real?] [N-] [like]
1,"y. Might have to check it out. Mm-hm. But I don't be like- What else? yeah, um, my m- like I listen to"
1,"en- yeah. All that shit. I put it all in there. I be like, yeah I want the- I want the authentic god ["
1,"se, you know, what it all comes down to is niggas be broke, and they be like, yo hold up. But there's"
1,"it all comes down to is niggas be broke, and they be like, yo hold up. But there's a thing that we hav"
1,"[with] them. Because they hear our shit, and they be like, okay, this is hot. Okay, I see he actually"
1,"they-] [Tryna] stop me and [shit.] [yeah], [they be chop] [blocking.] [And they] [is-] chop blocking"
1,"talking about [or something?] [Ah, g-] Soulja Boy be claiming he from Fruit Town [Piru.] [F-] Fruit [T"
1,"m], the Grape Street thing, that thing Soulja Boy be talking about [or something?] [Ah, g-] Soulja Boy"
1,"ave to be quiet now. ] [Yeah, yeah, yeah, /??/ do be taking it too long.] That's why I don't even wann"
1,"s- be like on like the disrespectful shit. And I be like, uh, I ain't tryna hear that. I ain't- whate"
1,"have [like a- like] a seafood platter out, and I be like, [this is cool], but I can't eat this. [] [s"
1,"Yup. She [said], [] [yup.] I think that's how it be- be more too. That's the confirmation. If anybody"
1,"] [He said he's got the game] on tape. But LeBron be passing though. Yeah, that's- that's another thin"
1,"alking. [Yeah.] [And then] down here, like people be all loved up and damn near making love in the caf"
1,"like had like a] rocky road after that. Like she be like, oh you always aks me about this purple, cau"
1,"[man], [They be-] now [look, they-] [heavy.] they be shitting on 'em. [You never won a ring, you neve-"
1,"] talking about the over anxious douchebag, [They be-] [/yeah./] people are [s-] [Halo.] video games rui"
1,"ut Dominique Wilkins? [Yeah.] [/AI?/] T-Mac? They be shitting on these niggas, [man], [They be-] now ["
1,"c? They be shitting on these niggas, [man], [They be-] now [look, they-] [heavy.] they be shitting on 'e"
1,"ven talk to me. [Yeah.] Why are you here? And you be like, bruh, hold on, man, like come on, man. [Why"
1,"h.] And [everybody ready to go with] you, and you be like, nah I'm not going there no more. I'm going"
1,"th you all day, and they g- ah yeah, you- and you be like, okay, so yeah what's u- ah s- nuh-uh, no no"
1,"eah what's u- ah s- nuh-uh, no no no boo boo. You be like, damn bro, like you- you was just- You was ["
1,"your cock- okay, no. It your hair [cut?] [] [You be like], [bruh.] [] [I] just wanted to see if you w"
1,"e in the cafeteria, tonguing each other down. You be like, oh that's your girlfriend? Nah, we just tal"
1,"get on, bruh. I'm packing my bags. [Slick.] [] [I be on that bougie shit-] Ay nigga, I'm letting [you"
1,"gonna stand out. Like a lot of times I don't even be wanting to step out the house cause I feel like,"
1,"everything. But I don't see enough of that. And I be thinking like, damn, maybe I gotta get on this bi"
1,"that I really feel like is the competition when I be really feeling like, [Mm.] [you ain't] my competi"
1,Mm. That's- that's very very interesting cause I be feeling that way sometimes personally just from m
1,"cause I n- I don't know. I- a lot of people just be like, oh yeah, I just took the cheese bus. Uh, I"
1,"for it every day. So who's to say why can't that be on every Black business? Why- you know, from seaf"
1,"thinking some of these strippers out here, really be getting doctor money out here. yeah, they may, bu"
1,"ah. Horses cool man. Not in backyards. Yeah, they be taking giant shits. Glad that's your topic of dis"
1,tep away from things and keep doing stuff. Like I be correcting my kids so much just on common sense s
1,"] [Man, I know /unintelligible/] [] [Like I] just be /here/ trying to keep my brain so my body don't f"
1,"doing? Like, won't you just do this, and it just be the simplest thing? And they just don't get the c"
1,"- you know, quote unquote big boned. Them [niggas be unhealthy.] [What-] [what] if they don't look lik"
1,"body's systems will slow way down and some people be frozen all the way solid, [Mm-hm.] [and] then tha"
1,"dudes and soon as the cops come around, [] [they] be like, don't look to the side. Don't look over you"
1,"e, [some people e-] live like that that, but they be real [Oh man.] (whispered) unhealthy. Trust me. T"
1,"] kids not saying the Migos around you? Nah, they be into old school like Celia Cruz. They like the ol"
1,"like that. (laughing) Mm-hm. Nah that's good, you be keeping good company. Yeah man, I've always been"
1,"l titties, man, [you know what I'm saying.] [porn be real.] [Okay.] Dang. Back in, um, wanna say in my"
1,"ong is gonna kill it. One minute, here we go. You be watching the, um, show Everyday Struggle? Yeah, y"
1,"the pain, you feel me. I ain't gonna lie, I don't be having no pain, and then when I smoke, it definit"
1,"it me. /??/ [like /suck-/] [Nah, I mean], I be- I be- I be wondering like, you know, all the hood [nigg"
1,"/??/ [like /suck-/] [Nah, I mean], I be- I be- I be wondering like, you know, all the hood [niggas an"
1,o some- I be going- like muscle spasm and shit. I be going through some shit I might be walking. And m
1,"] [But I- yeah.] But, yeah, I be going to some- I be going- like muscle spasm and shit. I be going thr"
1,"now. Oh, [right now?] [But I- yeah.] But, yeah, I be going to some- I be going- like muscle spasm and"
1,ome out though.] [Oh you feel that shit] cause it be [different.] [] That [shit disappear.] [But if I
1,"ghing) [everybody say they got] they gas. A nigga be smoking the shit, the fuck is this shit, bro? I d"
1,"and such club, you feel me. [Mm-hm.] [And] niggas be like, let me go see this nigga, bro. [/Only/ wher"
1,"kill some shit. [Yeah, you feel me, like], niggas be having post- post- [/unintelligible/] post [somet"
1,"e been on it. [Like a lot of these lingos] niggas be bringing out [He been on it, yeah.] rap- [it's so"
1,"[That shit like f-] three percent, [] [so] niggas be high literally for like fucking three minutes. (l"
1,"for like fucking three minutes. (laughing) Niggas be high for three minutes, three percent, three minu"
1,"ike that nigga- He's a smart guy, and they really be tryna play that nigga [like he a] [dumbass crackh"
1,"ent, the accents, you know. But, you know, y- you be one place long enough, you l- you learn a vibe. Y"
1,? Have to get a ball and then some- some children be on one team and some be on another- on another te
1,"h then? With your girlfriends or what? Sometime I be with uh, a little girl live upstairs from me name"
1,"uh, Miss /RD-NAME-2/. Mm-hm. She- every time you be bad, she'll holler at you. If you don't quiet, sh"
1,"he patrols.] All the [patrol that wanna be chose] be in a room. We have meeting. [Oh, all the patrols."
1,o be acting bad. I let them do something. I don't be strict like that. I don't- I let them do some thi
1,"] /You did/. Uh, how do you play that? Uh, a girl be standing way far from away from me. And- and two"
1,"good time, don't they? Mm. Well what do you do? I be over with my friends. Mm-hm. What does the family"
1,"play? I play kickball, jump rope. Sometime I just be at home. That's all. Mm-hm. Well, how do you play"
1,way from me. And- and two people- a lot of people be standing back. And you say- And she say your name
1,"ay? Double Dutch. Oh, what's that? Uh- Two people be at each end, /carrying/ a rope like this. And a p"
1,"a letter over the summer, and told him that they be writing back to him. So he said he didn't want th"
1,"last person that I said a word on, that's the one be it. Mm-hm. Or how'd that go? It's something uh- w"
1,"us, and the person that he tag, that- that person be what he was at first. Mm-hm. Whatever he g- say h"
1,"erson that don't say, not it, that's the one that be it. /Right/. Do you ever say any rhymes? Nursery"
1,"hen Sydney Poitier called him to do something, he be having um, um pictures in his lap of girls. Mm-hm"
1,"or? Yeah any, any movies. No I don't watch 'em, I be outside. What do you do when you go outside? I go"
1,"g a song in the morning time. [/??/] [Like] uh it be on a record player, and she put it on there. and"
1,o red. R-E-D. And the person who get the last one be first. Oh. See that's what I was tryna get you to
1,"we take and go to the corner, and um and somebody be up, like up the street, and we be down at the nex"
1,"su- su- a sugar ball and if you be k- caught they be throwing you to the trash can. Oh, that sounds li"
1,"ots. Not with them long things come up here, they /be/ short down there. Oh, so in other words the kind"
1,"ou don't chase- if you don't catch 'em, well they be throwing it to the su- su- a sugar ball and if yo"
1,"ading and health, and uh S- That's- that's all we be in that's our home room. We change classes. Oh, w"
1,"um and somebody be up, like up the street, and we be down at the next corner. And we s-, and then they"
1,"on't like it. Why? My teacher mean. Why? Cause we be mean to her. Oh, is that the way it works? In oth"
1,"the street or the sidewalk or something, when you be skating. Mm-hm. Them the kind I want this year. ["
1,dness.] [Yeah.] I sleep all the time in school. I be so tired. Well that's something. You should get m
1,"why- why does he holler at you? Cause sometime I be sleeping, and- and I don't feel like doing no wor"
1,"Hopscotch? Well you draw a block on- You know, it be blocks in the street, [and] you just put numbers"
1,"h- s- holidays, like Christmas and you know. They be working some during Christmas. What did you say?"
1,"Then you know, you got to jump til you miss- They be counting [numbers.] [Uh-huh.] That's good. [/Can"
1,ing some during Christmas. What did you say? They be working. Uh-huh. Most of the time? Uh-huh. What d
1,"the one person who t- touched the tree, they um, be the person who hide their face. Mm-hm. Mm-hm. Wel"
1,y best? You pitch best or you bat best or what? I be the catcher. Oh yeah? You like to catch? Mm-hm. T
1,"ball. How do you play freeze tag? One- one person be it, and when they- when they tags /her/, you it."
1,"play a trick on the teacher? Sometime. What they be doing? When the teacher go out the room, they sne"
1,". And then w- then we say some words, and whoever be the last one, they it. Uh-huh. Yeah, do you say s"
1,hink he got the gold. (whispered) You know how it be some louder woods and things? He went out there.
1,ey gonna get her- They got him. You know? Like it be a /lean pursuit/ /??/ under the ground which you
1,"ng like um, Apeman. Mm-hm. He- You know, like, it be about f- ten mens, well he'll go around in circle"
1,"and you are not in. Mm-hm. And then, the last one be it. They got to be- They got to be in to tag from"
1,", you go- you do the same thing. Mm. And last one be it, as he tag you got to stay still, Mr. Freeze,"
1,"il there's only one left? Mm-hm. Uh-huh. And they be it. Um, do you know any other rhymes like that or"
1,use's number cause- because there's a lot of boys be on the porches. And if the one way up the street-
1,"'s in trouble. Then so they keep track of him. He be going /Jack/. Linc, he- he pulls out there with h"
1,"ealing, then he put- dude'll put /it/ back. Or he be replacing it. Then so he's in the car, and his bo"
1,"see. On Saturdays I like to watch cartoons, but I be out working. Where do you work? Huh? Shoe shining"
1,"ost of them, they be trying to- my brothers, they be trying to sneak all the way around, go up through"
1,y shut the windows so they can talk. Then so they be going to airport. Then he tells- Like if he got t
1,"at way. Then you call it cause most of them, they be trying to- my brothers, they be trying to sneak a"
1,"ound here on the school grounds? Yes, they always be fights. Just because some people fight, just beca"
1,"gang fights? Mm, some of 'em when- and when gangs be fighting, they always say if you see somebody- if"
1,"ing I might talk back to 'em. Sometime I don't. I be doing my work, and she'll think it's me. Oh, and"
1,"t you about? See sometime, the children, th- they be bothering you while you try and do your work. Sta"
1,ult? No. They keep talking and sometime when they be talking I might talk back to 'em. Sometime I don'
1,"s? Yeah. What do they play? I don't know. I don't be with them when they play. Okay. They too old. Oh,"
1,"e Gladiators, um Hercules, he a strong man and he be in his /unintelligible/. Two or four more men, th"
1,"movie you've seen lately? Remember? Sometimes he be on the movies, mostly. How about [Jerry Lewis] mo"
1,"y people play and how do you do it? You s- see it be other children you say, what time is it old lady"
1,"other- the other um children, they be behind, she be in front of 'em. How does she get in front of 'em"
1,"witch? She the other- the other um children, they be behind, she be in front of 'em. How does she get"
1,"chool. Except for, you know, little things, like, be coming through the line, I might sneak out and ge"
1,"your walk man, you know, like the person that you be with all the time. But we more or less like, you"
1,"All Negro. Mm-hm. But I do have, you know- When I be playing football out the Club, I have a few uh, w"
1,"happened? How? In what way? Uh, you know, when I be talking to the fellas, you know, I might say some"
1,"ies at somebody's [Mm-hm] apartment. Well, it- it be mixed up all kinds a way- everybody just- just be"
1,be mixed up all kinds a way- everybody just- just be there having a good time. That's- Mm-hm. that's a
1,it's gonna be- it's gonna be packed. Yeah people be all the way from Baltimore here. Is that right? A
1,"can't walk too- too good you know. So I come by, be looking for him. You know. And uh, I don't go in"
1,"But I just speak by myself all the time, I don't be with nobody. No sir. Now, my wife, m- we seperate"
1,"might think I'm crazy in there, you know, cause I be humming to myself. And I better not hear no piece"
1,"them good clothes that people got. Uh-huh. /So it be/ clothes is what you'd buy? Well, pantsuit. See I"
1,"good in her classroom. Mm-hm. Think if a teacher be nice to the kids, that the kids will- [Be nice to"
1,"erything. Oh. Like when somebody's mother sick we be on the front porch, and somebody start hollering"
1,go to the skating ring. Mm-hm. How about when you be in school? And after school get out? Well [someti
1,"e- who's gonna get out. And if you out, everybody be jumping, be all happy so you don't be it. Okay, w"
1,I'm gonna die! That's all I'll be doing. I mean I be nervous- I be a nervous wreck! From that time unt
1,That's all I'll be doing. I mean I be nervous- I be a nervous wreck! From that time until I- I- til I
1,"na get out. And if you out, everybody be jumping, be all happy so you don't be it. Okay, what about Be"
1,Sometimes I think I'm not gonna make it so- And I be saying I'll be glad when I get there. I was happy
1,t with-/ at night time. Mm-hm. Cause in the day I be over to church. Mm-hm. With the NYC workers over
1,"y that. Yeah. Describe how you play hopscotch. It be one, then two blocks, one, two blocks, one, two b"
1,tell her come- come back in and then you know it be all happy and stuff. Aw. But he- that dog died of
1,"have to jump over the person's rock you know, it be, rock in the block. And then some people just skip"
1,rotate? Yeah. What- what- what does that mean? It be five people right here and five people right ther
1,"You know how to play [football?] [Mm-mm.] See, it be /some/ um- We had to play out on a field. Mm-hm."
1,s you want. Mm-hm. How do you choose up sides? It be two captains and- and then they say I want this p
1,"w do you- d- describe how you play volleyball. It be two teams, and there be a net. Mm-hm. And then yo"
1,"w you play volleyball. It be two teams, and there be a net. Mm-hm. And then you know they try to hit t"
1,"um, Freeze. You tag a person um- Like one person be polar bear, and one person- The polar bear tags t"
1,"/. Then /RD-NAME-2/ and all of us go outside, and be playing around And then we go over um, /RD-NAME-2"
1,"back on the front, and play games. Or if the boys be out, then we be talking to them. You have a boyfr"
1,"Think that'd be kind of fun? Mm-mm. The children be screaming and hollering. Yeah, sure will. How abo"
1,"he like to see his girlfriend in the house or /he be/ doing something, instead of talking to another bo"
1,"How'd you play Hide and Seek? /?/ Um, one person be it, and to find out whoever who- who's it or not,"
1,"hang around with here huh? /Huh/? Well I usually be with /RD-NAME-2/, /RD-NAME-1/, and /RD-NAME-2/, /"
1,"u know, like we- If we take Spanish in school, we be- We'll call each other names and stuff in Spanish"
1,"t, and play games. Or if the boys be out, then we be talking to them. You have a boyfriend? Yes. Tell"
